Date,Day,Campaign Week,Feature Group,Weekly Lens,Phase,Funnel Goal,Feature / Theme,Angle,Format,Promotion,Channels,Audience,Hook,Core Message,CTA,Creative Brief,New Feature Highlight,Feature ID,Added On,Status,Owner,Asset / Draft Link
2026-10-01,Thursday,Launch week,launch,Launch story,Launch,Awareness / consideration,INPROFIC launch,Launch story,Reel / short demo,Organic,"Instagram, Facebook",Owners and operating teams,"Meet INPROFIC: one operating system for stock, production, sales, finance and commerce.","Meet INPROFIC: one operating system for stock, production, sales, finance and commerce.",See the full product tour,"Brand reveal + fast cuts across Inventory, Sales, Commerce, Delivery and Finance.",LAUNCH,launch,2026-10-01,Planned,,
2026-10-02,Friday,Launch week,launch,Launch story,Launch,Awareness / consideration,Who INPROFIC is for,Launch story,Carousel,Organic + boost,"Instagram, LinkedIn",Owners and operating teams,"Bakery, restaurant, production, wholesale or retail: start with the workflow your business actually runs.","Bakery, restaurant, production, wholesale or retail: start with the workflow your business actually runs.",Choose your operating profile,Five business archetypes flowing into one INPROFIC workspace.,LAUNCH,launch,2026-10-01,Planned,,
2026-10-03,Saturday,Launch week,launch,Launch story,Launch,Awareness / consideration,One source of operational truth,Launch story,Static graphic,Organic,"LinkedIn, Facebook",Owners and operating teams,"Stop rebuilding the same order in separate stock, finance and fulfilment tools.","Stop rebuilding the same order in separate stock, finance and fulfilment tools.",Explore connected workflows,"Animated order moving through stock, payment and fulfilment.",LAUNCH,launch,2026-10-01,Planned,,
2026-10-04,Sunday,Launch week,launch,Launch story,Launch,Awareness / consideration,Commerce to operations,Launch story,Screen-record demo,Organic + paid,"Instagram, TikTok",Owners and operating teams,A customer checkout should become the right internal record only after verified payment.,A customer checkout should become the right internal record only after verified payment.,See payment-first checkout,Storefront basket → payment → order → delivery timeline.,LAUNCH,launch,2026-10-01,Planned,,
2026-10-05,Monday,Launch week,launch,Launch story,Launch,Awareness / consideration,Production to finance,Launch story,Story / poll,Organic,"Instagram Stories, Facebook Stories",Owners and operating teams,"Production, stock and money should agree without turning every manager into a spreadsheet reconciler.","Production, stock and money should agree without turning every manager into a spreadsheet reconciler.",Watch the production flow,Recipe release → output → sale/receivable → finance ledger.,LAUNCH,launch,2026-10-01,Planned,,
2026-10-06,Tuesday,Launch week,launch,Launch story,Launch,Awareness / consideration,Control without complexity,Launch story,Founder post,Organic,"LinkedIn, Facebook",Owners and operating teams,"Roles, audit trails and tenant boundaries can be strong without making the interface feel like engineering software.","Roles, audit trails and tenant boundaries can be strong without making the interface feel like engineering software.",Book a guided walkthrough,Role cards + audit evidence + clean dashboard.,LAUNCH,launch,2026-10-01,Planned,,
2026-10-07,Wednesday,Launch week,launch,Launch story,Launch,Awareness / consideration,Launch week recap,Launch story,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",Owners and operating teams,"INPROFIC is live: inventory, procurement, production, sales, finance, commerce, delivery, audit and more in one tenant-safe platform.","INPROFIC is live: inventory, procurement, production, sales, finance, commerce, delivery, audit and more in one tenant-safe platform.",Start your INPROFIC setup,Launch-week montage with feature labels and CTA.,LAUNCH,launch,2026-10-01,Planned,,
2026-10-08,Thursday,Week 2,operations,Connected-system handoff,Feature education,Awareness,Inventory with purchase-to-usage units,Feature education,Reel / short demo,Organic,"Instagram, Facebook","owners, storekeepers, production teams",Inventory with purchase-to-usage units: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Buy in packs or bags while stock and recipes stay accurate in the unit actually consumed.,See how it works,"Use a real INPROFIC screen/demo for Inventory with purchase-to-usage units. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,inventory-units,,Planned,,
2026-10-09,Friday,Week 2,experience,Control / verification,Feature education,Consideration,Dashboard search and operating insights,Feature education,Carousel,Organic + boost,"Instagram, LinkedIn",owners and managers,Dashboard search and operating insights: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Search key business records quickly and review stock, commercial and period signals from one operating dashboard.",See how it works,"Use a real INPROFIC screen/demo for Dashboard search and operating insights. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,dashboard-insights,,Planned,,
2026-10-10,Saturday,Week 2,operations,Persona / use case,Feature education,Conversion support,✨ NEW — Persistent stock alerts inside the shared operations tray,Feature education,Static graphic,Organic,"LinkedIn, Facebook","owners, storekeepers, managers",✨ NEW — Persistent stock alerts inside the shared operations tray: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Raw-material and finished-good warning/low conditions open in separate Inventory tabs inside the movable tray, keep per-user snooze/re-alert timing, can use synthesized alerts or eight bundled audio chimes, and continue due reminders through Web Push when the app is backgrounded or closed.",See how it works,"Use a real INPROFIC screen/demo for Persistent stock alerts inside the shared operations tray. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",NEW,stock-alerts,2026-09-20,Planned,,
2026-10-11,Sunday,Week 2,operations,Recap / CTA,Feature education,Awareness,Business-defined product categories,Feature education,Screen-record demo,Organic + paid,"Instagram, TikTok","retail, restaurant, bakery and wholesale teams",Business-defined product categories: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Organize sellable products independently of whether they are made in-house or purchased for resale.,See how it works,"Use a real INPROFIC screen/demo for Business-defined product categories. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,product-categories,,Planned,,
2026-10-12,Monday,Week 2,operations,Problem / pain point,Feature education,Consideration,Controlled measurement changes,Feature education,Story / poll,Organic,"Instagram Stories, Facebook Stories",inventory and production managers,Controlled measurement changes: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Convert live stock and recipe definitions without rewriting completed historical evidence.,See how it works,"Use a real INPROFIC screen/demo for Controlled measurement changes. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,measurement-change,,Planned,,
2026-10-13,Tuesday,Week 2,operations,How it works,Feature education,Conversion support,Procurement and receiving,Feature education,Founder post,Organic,"LinkedIn, Facebook",procurement and store teams,Procurement and receiving: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Receive purchase orders into stock with unit conversion and cost updates handled together.,See how it works,"Use a real INPROFIC screen/demo for Procurement and receiving. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,procurement,,Planned,,
2026-10-14,Wednesday,Week 2,operations,Screen / workflow demo,Feature education,Awareness,Wholesale and retail stock-first workflows,Feature education,Paid ad creative,Paid prospecting + retargeting,"Instagram, Facebook, LinkedIn",wholesalers and retailers,Wholesale and retail stock-first workflows: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Wholesale and retail use procurement-first stock-product forms and supporting-supply controls without production-only recipe, batch or base-material fields.",See how it works,"Use a real INPROFIC screen/demo for Wholesale and retail stock-first workflows. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,wholesale-retail,,Planned,,
2026-10-15,Thursday,Week 3,production,Connected-system handoff,Feature education,Consideration,Production requests and orders,Feature education,Reel / short demo,Organic,"Instagram, Facebook",production-led businesses,Production requests and orders: what changes when this is handled inside one connected system?,"Show exactly what the feature does and the workflow it replaces. Proof point: Plan output, release recipe materials transactionally and add completed output to finished stock.",See how it works,"Use a real INPROFIC screen/demo for Production requests and orders. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,production,,Planned,,
2026-10-16,Friday,Week 3,production,Control / verification,Feature education,Conversion support,Shared Production Runs,Feature education,Carousel,Organic + boost,"Instagram, LinkedIn",production planners and managers,Shared Production Runs: what changes when this is handled inside one connected system?,Show exactly what the feature does and the workflow it replaces. Proof point: Coordinate multiple normal customer/restock orders into one combined material release without losing order-level attribution.,See how it works,"Use a real INPROFIC screen/demo for Shared Production Runs. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,shared-runs,,Planned,,
2026-10-17,Saturday,Week 3,production,Persona / use case,Feature education,Awareness,"Batch yield, wastage and output tracking",Feature education,Static graphic,Organic,"LinkedIn, Facebook",production teams,"Batch yield, wastage and output tracking: what changes when this is handled inside one connected system?","Show exactly what the feature does and the workflow it replaces. Proof point: Keep requested quantity, planned output, actual output and wastage distinct.",See how it works,"Use a real INPROFIC screen/demo for Batch yield, wastage and output tracking. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,batch-yield,,Planned,,
2026-10-18,Sunday,Week 3,production,Recap / CTA,Feature education,Consideration,"Offcut, surplus and shortage reconciliation",Feature education,Screen-record demo,Organic + paid,"Instagram, TikTok",production and sales managers,"Offcut, surplus and shortage reconciliation: what changes when this is handled inside one connected system?",Show exactly what the feature does and the workflow it replaces. Proof point: Route usable surplus deliberately and reconcile customer shortages without duplicate sales or production events.,See how it works,"Use a real INPROFIC screen/demo for Offcut, surplus and shortage reconciliation. Show one before/after workflow, then one concrete proof point; avoid fabricated metrics.",,offcuts-shortages,,Planned,,
